blue_win,GoldDiff,MinionDiff,JgMinionDiff,LevelDiff,KillDiff,HeraldDiff,DragonDiff,TowersDiff
0,-4103,-52,2,-0.8,-7,1,2,-1
0,-12541,-51,-15,-0.8,-18,-1,-2,-4
1,4160,4,24,0.6,5,1,0,2
1,124,-32,16,0,3,1,1,-1
0,-4652,-62,1,0,-6,-1,0,-2
1,12202,117,9,1.6,17,1,2,3
1,3659,-46,-11,0.2,7,1,2,2
1,-4295,-42,-43,-0.4,0,0,2,-1
1,7539,62,-5,0.6,8,0,1,2
0,-4901,-65,-11,-1,-10,1,-1,0
1,572,2,1,0.2,-2,1,-2,1
0,-4906,-24,-32,-1,-4,1,0,-2
0,-388,12,-13,-0.2,-1,1,-1,-1
0,-5714,-15,-31,-0.6,-8,-1,-1,-2
0,-3983,-27,5,-0.4,-5,-1,-2,-1
0,-8983,-33,-11,-0.8,-13,-1,-1,-3
